pokemon,tableweight,min_level,prevolution
Braviary,1,35,Rufflet
Carbink,1,0,n/a
Cubone,4,0,n/a
Electabuzz,2,30,Elekid
Elekid,3,0,n/a
Falinks,1,0,n/a
Flaaffy,2,10,Mareep
Galvantula,2,30,Joltik
Heleoptile,6,0,n/a
Heliolisk,3,20,Helioptile
Jolteon,2,20,Eevee
Joltik,4,0,n/a
Krokorok,3,25,Sandile
Luxio,2,10,Shinx
Magnemite,4,0,n/a
Magneton,2,30,Magnemite
Mandibuzz,2,30,Vullaby
Mareep,4,0,n/a
Marowak,2,20,Cubone
Nosepass,4,0,n/a
Olympian Ponyta,4,0,n/a
Probopass,2,25,Nosepass
Olympian Rapidash,2,30,Ponyta
Rhydon,2,25,Rhyhorn
Rhyhorn,4,0,n/a
Rufflet,4,0,n/a
Sandile,6,0,n/a
Sandshrew,3,0,n/a
Shinx,3,0,n/a
Trapinch,6,0,n/a
Vibrava,3,25,Trapinch
Vullaby,4,0,n/a
