pokemon,tableweight,min_level,prevolution
Clamperl,6,0,n/a
Clauncher,5,0,n/a
Clawitzer,2,30,Clauncher
Clobbopus,4,0,n/a
Corsola,6,0,n/a
Froakie,3,0,n/a
Frogadier,1,15,Froakie
Galarian Slowbro,1,30,Galarian Slowpoke
Galarian Slowpoke,2,0,n/a
Galarian Slowking,1,30,Galarian Slowpoke
Grapploct,2,30,Clobbopus
Kilowattrel,2,25,Wattrel
Kingler,3,25,Krabby
Krabby,5,0,n/a
Mareanie,4,0,n/a
Pelipper,3,25,Wingull
Pikipek,5,0,n/a
Popplio,4,0,n/a
Sandygast,7,0,n/a
Shellder,6,0,n/a
Shellos,6,0,n/a
Toxapex,2,30,Mareanie
Trumbeak,3,15,Pikipek
Wattrel,4,0,n/a
Wimpod,8,0,n/a
Wingull,5,0,n/a
