pokemon,tableweight,min_level,prevolution
Alolan Meowth,3,0,n/a
Alolan Rattata,6,0,n/a
Chatot,3,0,n/a
Companeon,1,25,Eevee
Cutiefly,3,0,n/a
Eevee,5,0,n/a
Fidough,5,0,n/a
Fuecoco,2,0,n/a
Galarian Meowth,3,0,n/a
Galarian Zigzagoon,6,0,n/a
Grimer,4,0,n/a
Joltik,4,0,n/a
Lillipup,5,0,n/a
Litten,2,0,n/a
Meltan,1,0,n/a
Meowth,3,0,n/a
Milcery,2,0,n/a
Mimikyu,1,0,n/a
Minun,2,0,n/a
Munchlax,2,0,n/a
Pidove,6,0,n/a
Plusle,2,0,n/a
Polteageist,1,0,n/a
Poochyena,5,0,n/a
Quaxly,2,0,n/a
Rotom,2,0,n/a
Sinistea,1,0,n/a
Skitty,5,0,n/a
Smeargle,3,0,n/a
Sprigatito,2,0,n/a
Sylveon,1,25,Eevee
Totodile,2,0,n/a
Trubbish,4,0,n/a
Zorua,2,0,n/a
