pokemon,tableweight,min_level,prevolution
Absol,2,0,n/a
Aron,3,0,n/a
Axew,3,0,n/a
Carbink,2,0,n/a
Charcadet,2,0,n/a
Chimchar,2,0,n/a
Corvisquire,2,15,Rookidee
Dwebble,3,0,n/a
Falinks,2,0,n/a
Fuecoco,2,0,n/a
Geodude,5,0,n/a
Graveler,2,25,Geodude
Hisuian Sneasel,3,0,n/a
Klawf,3,0,n/a
Litten,2,0,n/a
Machoke,1,20,Machop
Machop,2,0,n/a
Mankey,3,0,n/a
Mienfoo,3,0,n/a
Nacli,5,0,n/a
Naclstack,2,25,Nacli
Nidoran,5,0,n/a
Nidorina,2,15,Nidoran
Nidorino,2,15,Nidoran
Noibat,3,0,n/a
Olympian Machoke,1,Olympian Machop
Olympian Machop,2,0,n/a
Orthworm,2,0,n/a
Rhyhorn,3,0,n/a
Riolu,3,0,n/a
Rookidee,4,0,n/a
Rufflet,3,0,n/a
Solosis,3,0,n/a
Tinkatink,3,0,n/a
Torracat,1,15,Litten
Turtwig,2,0,n/a
Tyrogue,4,0,n/a
Vullaby,3,0,n/a
