pokemon,tableweight,min_level,prevolution
Chinchou,6,0,n/a
Clamperl,2,0,n/a
Clawitzer,4,30,Clauncher
Cloyster,3,25,Shellder
Dhelmise,4,0,n/a
Drakloak,1,20,Dreepy
Dreepy,2,0,n/a
Gorebyss,2,20,Clamperl
Grapploct,4,30,Clobbopus
Horsea,6,0,n/a
Huntail,2,20,Clamperl
Inkay,6,0,n/a
Lanturn,3,25,Chinchou
Lumineon,4,30,Finneon
Malamar,3,30,Inkay
Mantine,4,25,Mantyke
Octillery,4,25,Remoraid
Relicanth,2,0,n/a
Seadra,3,15,Horsea
Sharpedo,4,30,Carvanha
Shellder,6,0,n/a
Starmie,6,0,n/a
Tentacruel,6,25,Tentacool
Wailmer,4,0,n/a
Wailord,2,30,Wailmer
Wishiwashi,8,0,n/a
