pokemon,tableweight,min_level,prevolution
Applin,2,0,n/a
Bewear,1,50,Stufful
Budew,2,0,n/a
Bulbasaur,1,0,n/a
Cascoon,3,0,n/a
Cherubi,2,0,n/a
Chespin,1,0,n/a
Chikorita,1,0,n/a
Cutiefly,3,0,n/a
Deerling,3,0,n/a
Emolga,2,0,n/a
Foongus,3,0,n/a
Galarian Ponyta,1,0,n/a
Grooky,1,0,n/a
Hoothoot,3,0,n/a
Noctowl,2,20,Hoothoot
Mimikyu,1,0,n/a
Morelull,3,0,n/a
Munchlax,1,0,n/a
Pancham,4,0,n/a
Pichu,1,0,n/a
Pikachu,1,10,Pichu
Pikipek,4,0,n/a
Rattata,4,0,n/a
Roselia,3,20,Budew
Rowlet,1,0,n/a
Scyther,2,0,n/a
Sentret,4,0,n/a
Sewaddle,6,0,n/a
Shroomish,4,0,n/a
Silcoon,3,0,n/a
Solosis,2,0,n/a
Stufful,2,0,n/a
Swadloon,3,15,Sewaddle
Tailow,4,0,n/a
Teddiursa,2,0,n/a
Toedscool,4,0,n/a
Treecko,1,0,n/a
Ursaring,1,30,Teddiursa
Vulpix,1,0,n/a
Wurmple,6,0,n/a
Zorua,1,0,n/a
