pokemon,tableweight,min_level,prevolution
Aerodactyl,2,0,n/a
Amaura,2,0,n/a
Anorith,2,0,n/a
Archen,2,0,n/a
Arctopras,2,0,n/a
Bulbasaur,2,0,n/a
Charmander,2,0,n/a
Chespin,2,0,n/a
Chikorita,2,0,n/a
Chimchar,2,0,n/a
Cranidos,2,0,n/a
Cyndaquil,2,0,n/a
Ditto,5,0,n/a
Dracosaur,2,0,n/a
Dunklesaur,2,0,n/a
Eevee,5,0,n/a
Fennekin,2,0,n/a
Froakie,2,0,n/a
Fuecoco,2,0,n/a
Grooky,2,0,n/a
Kabuto,2,0,n/a
Lileep,2,0,n/a
Litten,2,0,n/a
Mudkip,2,0,n/a
Omanyte,2,0,n/a
Oshawott,2,0,n/a
Pichu,2,0,n/a
Pikachu,2,5,Pichu
Piplup,2,0,n/a
Popplio,2,0,n/a
Quaxly,2,0,n/a
Rowlet,2,0,n/a
Scorbunny,2,0,n/a
Shieldon,2,0,n/a
Snivy,2,0,n/a
Sobble,2,0,n/a
Sprigatito,2,0,n/a
Squirtle,2,0,n/a
Tepig,2,0,n/a
Tirtouga,2,0,n/a
Togepi,2,0,n/a
Torchic,2,0,n/a
Totodile,2,0,n/a
Treecko,2,0,n/a
Turtwig,2,0,n/a
Tyrunt,2,0,n/a
Velozolt,2,0,n/a
