pokemon,tableweight,min_level,prevolution
Alolan Ninetales,2,25,Alolan Vulpix
Alolan Sandshrew,6,0,n/a
Alolan Sandslash,3,25,Alolan Sandshrew
Alolan Vulpix,4,0,n/a
Avalugg,3,30,Bergmite
Bergmite,8,0,n/a
Cetitan,3,25,Cetoddle
Cetoddle,6,0,n/a
Cryogonal,6,0,n/a
Frosmoth,3,20,Snom
Glaceon,4,25,Eevee
Hisuian Avalugg,3,30,Bergmite
Lucario,2,25,Riolu
Piloswine,4,20,Swinum
Piplup,6,0,n/a
Prinplup,3,15,Piplup
Riolu,4,0,n/a
Sealeo,3,20,Spheal
Seel,6,0,n/a
Sneasel,6,0,n/a
Snom,6,0,n/a
Spheal,6,0,n/a
Weavile,3,30,Sneasel
