pokemon,tableweight,min_level,prevolution
Abra,1,0,n/a
Azurill,2,0,n/a
Blipbug,4,0,n/a
Budew,2,0,n/a
Sewaddle,4,0,n/a
Chespin,1,0,n/a
Cottonee,4,0,n/a
Cyndaquil,1,0,n/a
Deerling,2,0,n/a
Eevee,1,0,n/a
Ekans,2,0,n/a
Falinks,2,0,n/a
Fennekin,1,0,n/a
Fidough,4,0,n/a
Flabebe,2,0,n/a
Growlithe,2,0,n/a
Grubbin,4,0,n/a
Swadloon,2,15,Sewaddle
Kricketot,2,0,n/a
Minun,2,0,n/a
Nidoran,2,0,n/a
Nincada,4,0,n/a
Olympian Litleo,4,0,n/a
Olympian Pyroar,2,25,Olympian Litleo
Pawmi,2,0,n/a
Pawmo,1,15,Pawmi
Plusle,2,0,n/a
Ponyta,2,0,n/a
Ralts,1,0,n/a
Rattata,4,0,n/a
Rookidee,4,0,n/a
Roselia,1,20,Budew
Scorbunny,1,0,n/a
Sentret,3,0,n/a
Shroomish,4,0,n/a
Skiddo,3,0,n/a
Skitty,2,0,n/a
Sprigatito,1,0,n/a
Stufful,1,0,n/a
Tandemaus,3,0,n/a
Torchic,1,0,n/a
Wurmple,4,0,n/a
Zigzagoon,3,0,n/a
Smoliv,6,0,n/a
Dolliv,3,25,Smoliv
