pokemon,tableweight,min_level,prevolution
Amoonguss,3,30,Foongus
Ariados,3,20,Spinarak
Bayleef,2,15,Chikorita
Bulbasaur,3,0,n/a
Chatot,2,0,n/a
Chikorita,3,0,n/a
Comfey,3,0,n/a
Cutiefly,5,0,n/a
Dartrix,2,15,Rowlet
Emolga,3,0,n/a
Foongus,6,0,n/a
Grotle,2,15,Turtwig
Grovyle,2,15,Treecko
Heracross,2,0,n/a
Ivysaur,2,15,Bulbasaur
Leafeon,2,25,Eevee
Mankey,5,0,n/a
Morelull,4,0,n/a
Pancham,5,0,n/a
Pangoro,2,30,Pancham
Phantump,3,0,n/a
Ribombee,2,25,Cutiefly
Rowlet,3,0,n/a
Servine,2,15,Snivy
Shiinotic,2,20,n/a
Slakoth,3,0,n/a
Snivy,3,0,n/a
Spinarak,6,0,n/a
Toedscruel,2,30,Toedscool
Treecko,3,0,n/a
Trevenant,2,25,Phantump
Tropius,3,0,n/a
Turtwig,3,0,n/a
Vigoroth,2,15,Slakoth
