pokemon,tableweight,min_level,prevolution
Brionne,3,10,Popplio
Carvanha,4,0,n/a
Clamperl,2,0,n/a
Clauncher,4,0,n/a
Clawitzer,2,25,Clauncher
Clobbopus,4,0,n/a
Cloyster,2,20,Shellder
Corsola,2,0,n/a
Dreepy,2,0,n/a
Finneon,3,0,n/a
Froakie,2,0,n/a
Frogadier,1,10,Froakie
Grapploct,2,25,Clobbopus
Horsea,4,0,n/a
Inkay,3,0,n/a
Magicarp,6,0,n/a
Mantine,2,20,Mantyke
Mantyke,3,0,n/a
Mareanie,3,0,n/a
Milotic,1,15,Feebas
Pelipper,3,20,Wingull
Popplio,4,0,n/a
Remoraid,3,0,n/a
Sharpedo,2,25,Carvanha
Shellder,4,0,n/a
Shellos,3,0,n/a
Staryu,3,0,n/a
Tentacool,4,0,n/a
Tentacruel,2,20,Tentacool
Veluza,2,0,n/a
Wailmer,4,0,n/a
Wailord,2,25,Wailmer
Wingull,6,0,n/a
Wishiwashi,3,0,n/a
