pokemon,tableweight,min_level,prevolution
Avalugg,3,25,Bergmite
Bergmite,6,0,n/a
Carracosta,2,25,Tirtouga
Cloyster,3,20,Shellder
Cryogonal,3,0,n/a
Dewgong,3,25,Seel
Dhelmise,4,0,n/a
Eiscue,4,0,n/a
Finneon,6,0,n/a
Galarian Corsola,6,0,n/a
Gyarados,1,15,Magicarp
Horsea,6,0,n/a
Lapras,3,0,n/a
Lumineon,3,25,Finneon
Magicarp,10,0,n/a
Piplup,2,0,n/a
Prinplup,1,10,Piplup
Seadra,3,10,Horsea
Sealeo,3,15,Spheal
Seel,6,0,n/a
Spheal,6,0,n/a
Starmie,2,20,Staryu
Staryu,4,0,n/a
Tirtouga,4,0,n/a
Wailmer,4,0,n/a
Wailord,2,25,Wailmer
