pokemon,tableweight,min_level,prevolution
Araquanid,2,15,Dewpider
Arbok,3,15,Ekans
Bellibolt,3,20,Tadbulb
Croagunk,4,0,n/a
Dewpider,4,0,n/a
Ekans,6,0,n/a
Golisopod,2,15,Wimpod
Goomy,4,0,n/a
Grimer,8,0,n/a
Lombre,3,10,Lotad
Lotad,6,0,n/a
Marshtomp,2,10,Mudkip
Mudkip,4,0,n/a
Muk,4,25,Grimer
Palpitoad,3,10,Tympole
Poliwag,6,0,n/a
Poliwhirl,3,15,Poliwag
Quagsire,3,15,Wooper
Tadbulb,5,0,n/a
Teddiursa,4,0,n/a
Toxicroak,2,25,Croagunk
Tympole,6,0,n/a
Ursaring,2,25,Teddiursa
Wimpod,6,0,n/a
Wooper,6,0,n/a
