pokemon,tableweight,min_level,prevolution
city,112,0,n/a
safari,84,0,n/a
ruins,56,0,n/a
Unown A,1,0,n/a
Unown B,1,0,n/a
Unown C,1,0,n/a
Unown D,1,0,n/a
Unown E,1,0,n/a
Unown F,1,0,n/a
Unown G,1,0,n/a
Unown H,1,0,n/a
Unown I,1,0,n/a
Unown J,1,0,n/a
Unown K,1,0,n/a
Unown L,1,0,n/a
Unown M,1,0,n/a
Unown N,1,0,n/a
Unown O,1,0,n/a
Unown P,1,0,n/a
Unown Q,1,0,n/a
Unown R,1,0,n/a
Unown S,1,0,n/a
Unown T,1,0,n/a
Unown U,1,0,n/a
Unown V,1,0,n/a
Unown W,1,0,n/a
Unown X,1,0,n/a
Unown Y,1,0,n/a
Unown Z,1,0,n/a
Unown !,1,0,n/a
Unown ?,1,0,n/a
