itemname,tableweight,sell price
Cheri Berry,10,$75
Chesto Berry,10,$75
Pecha Berry,10,$75
Rawst Berry,10,$75
Aspear Berry,10,$75
Oran Berry,10,$75
Persim Berry,10,$75
Razz Berry,10,$75
Bluk Berry,10,$75
Nanab Berry,10,$75
Wepear Berry,10,$75
Pinap Berry,10,$75
Lum Berry,3,$125
Sitrus Berry,3,$125
Figy Berry,3,$125
Wiki Berry,3,$125
Mago Berry,3,$125
Aguav Berry,3,$125
Iapapa Berry,3,$125
Liechi Berry,3,$125
Ganlon Berry,3,$125
Salac Berry,3,$125
Petaya Berry,3,$125
Apicot Berry,3,$125
Lansat Berry,3,$125
Starf Berry,3,$125
Enigma Berry,3,$125
Micle Berry,3,$125
Jaboca Berry,3,$125
Rowap Berry,3,$125
Cornn Berry,3,$125
Magost Berry,3,$125
Rabuta Berry,3,$125
Nomel Berry,3,$125
Spelon Berry,3,$125
Pamtre Berry,3,$125
Watmel Berry,3,$125
Durin Berry,3,$125
Belue Berry,3,$125
Leppa Berry,1,$500
Pomeg Berry,1,$500
Kelpsy Berry,1,$500
Qualot Berry,1,$500
Hondew Berry,1,$500
Grepa Berry,1,$500
Tamato Berry,1,$500
Occa Berry,1,$500
Passho Berry,1,$500
Wacan Berry,1,$500
Rindo Berry,1,$500
Yache Berry,1,$500
Chople Berry,1,$500
Kebia Berry,1,$500
Shuca Berry,1,$500
Coba Berry,1,$500
Payapa Berry,1,$500
Tanga Berry,1,$500
Charti Berry,1,$500
Kasib Berry,1,$500
Haban Berry,1,$500
Colbur Berry,1,$500
Babiri Berry,1,$500
Chilan Berry,1,$500
Roseli Berry,1,$500
Custap Berry,1,$500
Kee Berry,1,$500
Maranga Berry,1,$500
