itemname,tableweight,sell price
Abomasite,1,$5000
Absolite,1,$5000
Absolite Z,1,$5000
Accuracy Booster,2,$2000
Adorable Fashion,2,$100
Aerodactylite,1,$5000
Aggronite,1,$5000
Alakazite,1,$5000
Alcremite Z,1,$5000
Altarianite,1,$5000
Ampharosite,1,$5000
Appletite Z,1,$5000
Attack Booster,2,$2000
Audinite,1,$5000
Banettite,1,$5000
Barbaracite,1,$5000
Baxcalibrite,1,$5000
Beedrillite,1,$5000
Big Root,2,$500
Blastoisite,1,$5000
Blastoisite Z,1,$5000
Blazikenite,1,$5000
Bright Powder,2,$1000
Bug Booster,3,$900
Bug Brace,3,$1000
Bug Gem,4,$100
Bug Plate,1,$500
Butterfrite Z,1,$5000
Cameruptite,1,$5000
Centiskite Z,1,$5000
Chandelurite,1,$5000
Charizardite X,1,$5000
Charizardite Y,1,$5000
Charizardite Z,1,$5000
Chesnaughtite,1,$5000
Chimechite,1,$5000
Choice Band,2,$1500
Choice Bracer,2,$1500
Choice Lens,2,$1500
Choice Scarf,2,$1500
Choice Specs,2,$1500
Cinderite Z,1,$5000
Clefabilite,1,$5000
Coalossite Z,1,$5000
Contest Accessory,2,$750
Contest Fasion,2,$500
Corvitite Z,1,$5000
Crabonite,1,$5000
Dark Booster,3,$900
Dark Brace,3,$1000
Dark Gem,4,$100
Dark Plate,1,$500
Darkranite,1,$5000
Deep Sea Scale,2,$750
Deep Sea Tooth,2,$750
Defense Booster,2,$2000
Delphoxite,1,$5000
Diancite,1,$5000
Dragalgite,1,$5000
Dragon Booster,3,$900
Dragon Brace,3,$1000
Dragon Gem,4,$100
Dragon Plate,1,$500
Dragon Scale,2,$750
Dragoninite,1,$5000
Drampanite,1,$5000
Drednite Z,1,$5000
Dubious Disc,2,$750
Duraludite Z,1,$5000
Eelectrossite,1,$5000
Eevite Z,1,$5000
Electirizer,2,$750
Electric Booster,3,$900
Electric Brace,3,$1000
Electric Gem,4,$100
Electric Plate,1,$500
Elegant Fasion,2,$250
Emboarite,1,$5000
Evasion Booster,2,$2000
Everstone,2,$750
Eviolite,2,$2000
Excadrite,1,$5000
Expert Belt,2,$1750
Fairy Booster,3,$900
Fairy Brace,3,$1000
Fairy Gem,4,$100
Fairy Plate,1,$500
Falinksite,1,$5000
Feraligite,1,$5000
Fighting Booster,3,$900
Fighting Brace,3,$1000
Fighting Gem,4,$100
Fighting Plate,1,$500
Fire Booster,3,$900
Fire Brace,3,$1000
Fire Gem,4,$100
Fire Plate,1,$500
Flame Orb,2,$1900
Flappite Z,1,$5000
Floettite,1,$5000
Flying Booster,3,$900
Flying Brace,3,$1000
Flying Gem,4,$100
Flying Plate,1,$500
Focus Band,2,$2350
Focus Sash,2,$2350
Froslassite,1,$5000
Full Incense,2,$450
Galladite,1,$5000
Garbodite Z,1,$5000
Garchompite,1,$5000
Garchompite Z,1,$5000
Gardevoirite,1,$5000
Gengarite,1,$5000
Gengarite Z,1,$5000
Ghost Booster,3,$900
Ghost Brace,3,$1000
Ghost Gem,4,$100
Ghost Plate,1,$500
Glalitite,1,$5000
Glimmoranite,1,$5000
Go-Goggles,2,$750
Golisopite,1,$5000
Golurkite,1,$5000
Grass Booster,3,$900
Grass Brace,3,$1000
Grass Gem,4,$100
Grass Plate,1,$500
Greninjite,1,$5000
Grimmnite Z,1,$5000
Ground Booster,3,$900
Ground Brace,3,$1000
Ground Gem,4,$100
Ground Plate,1,$500
Gyaradosite,1,$5000
Hatterite Z,1,$5000
Hawluchanite,1,$5000
Heatranite,1,$5000
