itemname,tableweight,sell price
Fire Stone,4,$1500
Water Stone,4,$1500
Thunder Stone,4,$1500
Leaf Stone,4,$1500
Moon Stone,4,$1500
Sun Stone,4,$1500
Shiny Stone,4,$1500
Dusk Stone,4,$1500
Dawn Stone,4,$1500
Deep Sea Scale,1,$1500
Deep Sea Tooth,1,$1500
Dragon Scale,2,$1500
Dubious Disc,2,$1500
Electirizer,2,$1500
King's Rock,3,$1500
Oval Stone,2,$1500
Magmarizer,2,$1500
Metal Coat,3,$1500
Protector,2,$1500
Razor Claw,2,$1500
Razor Fang,2,$1500
Reaper Cloth,2,$1500
Sachet,2,$1500
Up-Grade,2,$1500
Whipped Dream,2,$1500
