itemname,tableweight,sell price
Basic Ball,25,$125
Great Ball,15,$200
Ultra Ball,13,$400
Beast Ball,2,$400
Cherish Ball,2,$400
Dive Ball,2,$400
Dream Ball,2,$400
Dusk Ball,2,$400
Fast Ball,2,$400
Friend Ball,2,$400
Heal Ball,2,$400
Heavy Ball,2,$400
Level Ball,2,$400
Love Ball,2,$400
Lure Ball,2,$400
Luxury Ball,2,$400
Moon Ball,2,$400
Nest Ball,2,$400
Net Ball,2,$400
Park Ball,2,$400
Premier Ball,2,$400
Quick Ball,2,$400
Repeat Ball,2,$400
Safari Ball,2,$400
Sport Ball,2,$400
Timer Ball,2,$400
Master Ball,1,$15000
