itemname,tableweight,sell price
TR 01 - Work Up,1,$600
TR 02 - Dragon Claw,1,1200
TR 03 - Psyshock,1,1450
TR 04 - Calm Mind,1,$600
TR 05 - Roar,1,$500
TR 06 - Toxic,1,$950
TR 07 - Hail,1,$750
TR 08 - Bulk Up,1,$600
TR 09 - Venoshock,1,1150
TR 10 - Hidden Power,1,$750
TR 11 - Sunny Day,1,$750
TR 12 - Taunt,1,$500
TR 13 - Ice Beam,1,2100
TR 14 - Blizzard,1,2550
TR 15 - Hyper Beam,1,2500
TR 16 - Light Screen,1,1500
TR 17 - Protect,1,1250
TR 18 - Rain Dance,1,$750
TR 19 - Roost,1,1250
TR 20 - Safeguard,1,$500
TR 21 - Frustration,1,1500
TR 22 - Solar Beam,1,2300
TR 23 - Smack Down,1,1250
TR 24 - Thunderbolt,1,2600
TR 25 - Thunder,1,2550
TR 26 - Earthquake,1,2000
TR 27 - Return,1,1500
TR 28 - Leech Life,1,1500
TR 29 - Psychic,1,1500
TR 30 - Shadow Ball,1,1350
TR 31 - Brick Break,1,1200
TR 32 - Double Team,1,1250
TR 33 - Reflect,1,$750
TR 34 - Sludge Wave,1,2600
TR 35 - Flamethrower,1,2600
TR 36 - Sludge Bomb,1,2650
TR 37 - Sandstorm,1,$750
TR 38 - Fire Blast,1,2550
TR 39 - Rock Tomb,1,1400
TR 40 - Aerial Ace,1,1400
TR 41 - Torment,1,$500
TR 42 - Facade,1,1550
TR 43 - Flame Charge,1,1050
TR 44 - Rest,1,1000
TR 45 - Attract,1,$600
TR 46 - Thief,1,1100
TR 47 - Low Sweep,1,1200
TR 48 - Round,1,1400
TR 49 - Echoed Voice,1,$750
TR 50 - Overheat,1,2550
TR 51 - Steel Wing,1,1100
TR 52 - Focus Blast,1,2200
TR 53 - Energy Ball,1,2350
TR 54 - False Swipe,1,$600
TR 55 - Scald,1,1500
TR 56 - Fling,1,1000
TR 57 - Charge Beam,1,1150
TR 58 - Sky Drop,1,1400
TR 59 - Brutal Swing,1,1400
TR 60 - Quash,1,$500
TR 61 - Will-O-Wisp,1,1100
TR 62 - Acrobatics,1,1400
TR 63 - Embargo,1,$500
TR 64 - Explosion,1,3750
TR 65 - Shadow Claw,1,1200
TR 66 - Payback,1,1250
TR 67 - Smart Strike,1,1400
TR 68 - Giga Impact,1,2500
TR 69 - Rock Polish,1,$600
TR 70 - Aurora Veil,1,$750
TR 71 - Stone Edge,1,1950
TR 72 - Volt Switch,1,1550
TR 73 - Thunder Wave,1,1100
TR 74 - Gyro Ball,1,1250
TR 75 - Swords Dance,1,$600
TR 76 - Fly,1,1600
TR 77 - Psych Up,1,1050
TR 78 - Bulldoze,1,1200
TR 79 - Frost Breath,1,$500
TR 80 - Rock Slide,1,2100
TR 81 - X-Scissor,1,1200
TR 82 - Dragon Tail,1,1400
TR 83 - Infestation,1,1100
TR 84 - Poison Jab,1,1500
TR 85 - Dream Eater,1,1500
TR 86 - Grass Knot,1,1450
TR 87 - Swagger,1,$500
TR 88 - Sleep Talk,1,$750
TR 89 - U-Turn,1,1550
TR 90 - Substitute,1,1000
TR 91 - Flash Cannon,1,1350
TR 92 - Trick Room,1,1000
TR 93 - Wild Charge,1,1250
TR 94 - Surf,1,2500
TR 95 - Snarl,1,1200
TR 96 - Nature Power,1,1000
TR 97 - Dark Pulse,1,1350
TR 98 - Waterfall,1,1850
TR 99 - Dazzling Gleam,1,1350
TR 100 - Confide,1,$500
